side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,cum_pnl_pts
short,2023-08-04 20:00:00+00:00,28967.5,2023-08-06 21:00:00+00:00,29174.637142857144,stop,-207.13714285714377,-5868.106000000014
short,2023-08-10 06:00:00+00:00,29517.33,2023-08-10 14:00:00+00:00,29711.71428571429,stop,-194.38428571428813,-6062.490285714302
long,2023-08-12 23:00:00+00:00,29430.18,2023-08-13 03:00:00+00:00,29431.04542857143,trail_stop,0.86542857142922,-6061.624857142873
short,2023-08-13 12:00:00+00:00,29390.0,2023-08-13 16:00:00+00:00,29356.98771428571,trail_stop,33.01228571428874,-6028.6125714285845
long,2023-08-14 17:00:00+00:00,29487.29,2023-08-14 18:00:00+00:00,29311.09285714286,stop,-176.19714285714144,-6204.809714285726
short,2023-08-15 12:00:00+00:00,29368.71,2023-08-15 14:00:00+00:00,29456.07571428571,stop,-87.36571428571187,-6292.175428571438
long,2023-08-20 08:00:00+00:00,26112.0,2023-08-20 13:00:00+00:00,26137.276,trail_stop,25.27600000000166,-6266.899428571436
short,2023-08-21 13:00:00+00:00,26129.69,2023-08-21 15:00:00+00:00,25949.059714285715,trail_stop,180.63028571428367,-6086.2691428571525
long,2023-08-23 17:00:00+00:00,26539.35,2023-08-23 19:00:00+00:00,26619.679142857145,trail_stop,80.32914285714651,-6005.940000000006
short,2023-08-25 02:00:00+00:00,26130.95,2023-08-25 08:00:00+00:00,26084.954285714288,trail_stop,45.99571428571289,-5959.944285714293
long,2023-08-26 15:00:00+00:00,26054.0,2023-08-27 01:00:00+00:00,25981.152857142857,stop,-72.8471428571429,-6032.791428571436
long,2023-08-27 12:00:00+00:00,26071.67,2023-08-27 14:00:00+00:00,26146.766571428572,trail_stop,75.09657142857395,-5957.694857142862
short,2023-08-28 10:00:00+00:00,25953.45,2023-08-28 12:00:00+00:00,26091.545714285716,stop,-138.09571428571508,-6095.790571428577
long,2023-08-29 02:00:00+00:00,26104.69,2023-08-29 10:00:00+00:00,25923.654285714285,stop,-181.03571428571377,-6276.826285714291
short,2023-08-29 11:00:00+00:00,25975.54,2023-08-29 14:00:00+00:00,26114.27285714286,stop,-138.73285714285885,-6415.55914285715
long,2023-08-29 14:00:00+00:00,27492.03,2023-08-29 16:00:00+00:00,27849.883714285712,trail_stop,357.85371428571307,-6057.705428571437
short,2023-08-31 09:00:00+00:00,27198.26,2023-08-31 11:00:00+00:00,27336.96857142857,stop,-138.7085714285713,-6196.414000000008
long,2023-09-03 05:00:00+00:00,25900.06,2023-09-03 07:00:00+00:00,25908.343714285715,trail_stop,8.283714285713359,-6188.130285714295
short,2023-09-04 21:00:00+00:00,25677.72,2023-09-05 07:00:00+00:00,25677.614285714284,trail_stop,0.10571428571711294,-6188.0245714285775
long,2023-09-07 12:00:00+00:00,25660.01,2023-09-07 13:00:00+00:00,25707.287142857145,trail_stop,47.27714285714683,-6140.747428571431
short,2023-09-07 13:00:00+00:00,25646.64,2023-09-07 14:00:00+00:00,25757.36142857143,stop,-110.72142857142899,-6251.46885714286
long,2023-09-07 14:00:00+00:00,25768.76,2023-09-07 16:00:00+00:00,25883.393428571428,trail_stop,114.63342857142925,-6136.83542857143
short,2023-09-09 01:00:00+00:00,25865.22,2023-09-09 13:00:00+00:00,25841.536285714286,trail_stop,23.683714285714814,-6113.151714285716
long,2023-09-12 15:00:00+00:00,26205.98,2023-09-12 16:00:00+00:00,26246.826285714287,trail_stop,40.84628571428766,-6072.305428571428
short,2023-09-16 04:00:00+00:00,26555.28,2023-09-16 13:00:00+00:00,26540.365714285716,trail_stop,14.914285714283324,-6057.391142857145
long,2023-09-16 13:00:00+00:00,26550.66,2023-09-17 07:00:00+00:00,26554.320571428572,trail_stop,3.660571428572439,-6053.730571428572
short,2023-09-17 18:00:00+00:00,26494.76,2023-09-17 20:00:00+00:00,26485.185142857143,trail_stop,9.574857142855763,-6044.155714285716
long,2023-09-18 04:00:00+00:00,26621.76,2023-09-18 07:00:00+00:00,26674.42685714286,trail_stop,52.66685714285995,-5991.488857142856
short,2023-09-21 03:00:00+00:00,27034.99,2023-09-21 09:00:00+00:00,26825.402285714285,trail_stop,209.58771428571708,-5781.901142857139
long,2023-09-24 11:00:00+00:00,26596.71,2023-09-24 13:00:00+00:00,26601.788,trail_stop,5.078000000001339,-5776.823142857138
short,2023-09-24 14:00:00+00:00,26588.09,2023-09-24 17:00:00+00:00,26632.45857142857,stop,-44.36857142857116,-5821.191714285709
long,2023-09-24 17:00:00+00:00,26673.07,2023-09-24 18:00:00+00:00,26674.806285714287,trail_stop,1.736285714287078,-5819.455428571422
short,2023-09-24 21:00:00+00:00,26519.35,2023-09-24 23:00:00+00:00,26250.219428571432,trail_stop,269.1305714285663,-5550.324857142856
long,2023-09-26 20:00:00+00:00,26164.19,2023-09-27 09:00:00+00:00,26326.128571428573,trail_stop,161.9385714285745,-5388.386285714281
long,2023-09-27 11:00:00+00:00,26766.69,2023-09-27 13:00:00+00:00,26591.722857142857,stop,-174.96714285714188,-5563.353428571423
short,2023-09-30 10:00:00+00:00,26978.95,2023-09-30 11:00:00+00:00,26971.30685714286,trail_stop,7.643142857141356,-5555.710285714282
long,2023-09-30 21:00:00+00:00,26999.29,2023-10-01 06:00:00+00:00,27076.26942857143,trail_stop,76.97942857143062,-5478.730857142851
short,2023-10-03 10:00:00+00:00,27625.58,2023-10-03 11:00:00+00:00,27624.094,trail_stop,1.4860000000007858,-5477.24485714285
long,2023-10-04 21:00:00+00:00,27686.6,2023-10-05 00:00:00+00:00,27726.631714285715,trail_stop,40.03171428571659,-5437.213142857134
short,2023-10-06 05:00:00+00:00,27499.99,2023-10-06 09:00:00+00:00,27693.65,stop,-193.65999999999985,-5630.873142857134
long,2023-10-06 19:00:00+00:00,27952.35,2023-10-06 21:00:00+00:00,28000.460857142858,trail_stop,48.11085714285946,-5582.762285714274
short,2023-10-08 15:00:00+00:00,27892.74,2023-10-09 04:00:00+00:00,27891.755999999998,trail_stop,0.9840000000040163,-5581.77828571427
long,2023-10-13 14:00:00+00:00,26757.08,2023-10-13 20:00:00+00:00,26932.566,trail_stop,175.48599999999715,-5406.292285714273
